step,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,gripper_closed
377,0.5,0.0,0.3699999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
378,0.5,0.0,0.3679999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
379,0.5,0.0,0.3659999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
380,0.5,0.002,0.3639999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
381,0.5,0.004,0.3619999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
382,0.5,0.006,0.3599999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
383,0.5,0.008,0.3579999999999999,6.123031769111886e-17,0.0,1.0,0.0,False
384,0.5,0.01,0.35599999999999987,6.123031769111886e-17,0.0,1.0,0.0,False
385,0.5,0.012,0.35399999999999987,6.123031769111886e-17,0.0,1.0,0.0,False
386,0.5,0.014,0.35199999999999987,6.123031769111886e-17,0.0,1.0,0.0,False
387,0.5,0.016,0.34999999999999987,6.123031769111886e-17,0.0,1.0,0.0,False
388,0.5,0.018000000000000002,0.34799999999999986,6.123031769111886e-17,0.0,1.0,0.0,False
389,0.5,0.020000000000000004,0.34599999999999986,6.123031769111886e-17,0.0,1.0,0.0,False
390,0.5,0.022000000000000006,0.34399999999999986,6.123031769111886e-17,0.0,1.0,0.0,False
391,0.5,0.024000000000000007,0.34199999999999986,6.123031769111886e-17,0.0,1.0,0.0,False
392,0.5,0.02600000000000001,0.33999999999999986,6.123031769111886e-17,0.0,1.0,0.0,False
393,0.5,0.02800000000000001,0.33799999999999986,6.123031769111886e-17,0.0,1.0,0.0,False
394,0.5,0.030000000000000013,0.33599999999999985,6.123031769111886e-17,0.0,1.0,0.0,False
395,0.5,0.032000000000000015,0.33399999999999985,6.123031769111886e-17,0.0,1.0,0.0,False
396,0.5,0.034000000000000016,0.33199999999999985,6.123031769111886e-17,0.0,1.0,0.0,False
397,0.5,0.03600000000000002,0.32999999999999985,6.123031769111886e-17,0.0,1.0,0.0,False
398,0.5,0.03800000000000002,0.32799999999999985,6.123031769111886e-17,0.0,1.0,0.0,False
399,0.5,0.04000000000000002,0.32599999999999985,6.123031769111886e-17,0.0,1.0,0.0,False
400,0.5,0.04200000000000002,0.32399999999999984,6.123031769111886e-17,0.0,1.0,0.0,False
401,0.5,0.044000000000000025,0.32199999999999984,6.123031769111886e-17,0.0,1.0,0.0,False
402,0.5,0.04600000000000003,0.31999999999999984,6.123031769111886e-17,0.0,1.0,0.0,False
403,0.5,0.04800000000000003,0.31799999999999984,6.123031769111886e-17,0.0,1.0,0.0,False
404,0.5,0.05000000000000003,0.31599999999999984,6.123031769111886e-17,0.0,1.0,0.0,False
405,0.5,0.05200000000000003,0.31399999999999983,6.123031769111886e-17,0.0,1.0,0.0,False
406,0.5,0.054000000000000034,0.31199999999999983,6.123031769111886e-17,0.0,1.0,0.0,False
407,0.5,0.056000000000000036,0.30999999999999983,6.123031769111886e-17,0.0,1.0,0.0,False
408,0.5,0.05800000000000004,0.30799999999999983,6.123031769111886e-17,0.0,1.0,0.0,False
409,0.5,0.06000000000000004,0.3059999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
410,0.5,0.06200000000000004,0.3039999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
411,0.5,0.06400000000000004,0.3019999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
412,0.5,0.06600000000000004,0.2999999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
413,0.5,0.06800000000000005,0.2979999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
414,0.5,0.07000000000000005,0.2959999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
415,0.5,0.07200000000000005,0.2939999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
416,0.5,0.07400000000000005,0.2919999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
417,0.5,0.07600000000000005,0.2899999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
418,0.5,0.07800000000000006,0.2879999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
419,0.5,0.08000000000000006,0.2859999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
420,0.5,0.08200000000000006,0.2839999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
421,0.5,0.08400000000000006,0.2819999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
422,0.5,0.08600000000000006,0.2799999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
423,0.5,0.08800000000000006,0.2779999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
424,0.5,0.09000000000000007,0.2759999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
425,0.5,0.09200000000000007,0.2739999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
426,0.5,0.09400000000000007,0.2719999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
427,0.5,0.09600000000000007,0.2699999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
428,0.5,0.09800000000000007,0.2679999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
429,0.5,0.10000000000000007,0.2659999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
430,0.5,0.10200000000000008,0.2639999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
431,0.5,0.10400000000000008,0.2619999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
432,0.5,0.10600000000000008,0.2599999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
433,0.5,0.10800000000000008,0.2579999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
434,0.5,0.11000000000000008,0.2559999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
435,0.5,0.11200000000000009,0.2539999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
436,0.5,0.11400000000000009,0.2519999999999998,6.123031769111886e-17,0.0,1.0,0.0,False
437,0.5,0.11600000000000009,0.24999999999999978,6.123031769111886e-17,0.0,1.0,0.0,False
438,0.5,0.11800000000000009,0.24799999999999978,6.123031769111886e-17,0.0,1.0,0.0,False
439,0.5,0.12000000000000009,0.24599999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
440,0.5,0.1220000000000001,0.24399999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
441,0.5,0.1240000000000001,0.24399999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
442,0.5,0.12600000000000008,0.24399999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
443,0.5,0.12800000000000009,0.24399999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
444,0.5,0.1300000000000001,0.24199999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
445,0.5,0.1320000000000001,0.23999999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
446,0.5,0.1340000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
447,0.5,0.1360000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
448,0.5,0.1380000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
449,0.5,0.1400000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
450,0.5,0.1420000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
451,0.5,0.1440000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
452,0.5,0.1460000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
453,0.5,0.1480000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
454,0.5,0.1500000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
455,0.5,0.1520000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
456,0.5,0.1540000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
457,0.5,0.1560000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
458,0.5,0.1580000000000001,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
459,0.5,0.16000000000000011,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
460,0.5,0.16200000000000012,0.23799999999999977,6.123031769111886e-17,0.0,1.0,0.0,False
